"id";"name";"nation";"position";"team";"age";"born";"MP";"Starts";"Min";"Gls";"Ast";"PK";"PKatt";"CrdY";"CrdR";"Gls_per_match";"Ast_per_match";"G_A_per_match";"G_PK_per_match";"G_A_PK_per_match";"Matches"
159;Ismaël Diomandé\Ismael-Diomande;ci CIV;MF;Rizespor;26;1992;17;14;1202;0;0;0;0;8;1;0.00;0.00;0.00;0.00;0.00;Matches
160;Nabil Dirar\Nabil-Dirar;ma MAR;DF;Fenerbahçe;33;1986;20;19;1687;2;0;0;0;5;0;0.11;0.00;0.11;0.11;0.11;Matches
161;Brice Dja Djédjé\Brice-Dja-Djedje;ci CIV;MF;Kayserispor;28;1990;21;19;1711;0;0;0;0;5;0;0.00;0.00;0.00;0.00;0.00;Matches
162;Armin Djerlek\Armin-Djerlek;rs SRB;FW;Sivasspor;19;2000;5;0;51;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
163;Papy Djilobodji\Papy-Djilobodji;sn SEN;DFMF;Gaziantep FK;30;1988;23;23;2025;4;1;0;0;4;0;0.18;0.04;0.22;0.18;0.22;Matches
164;Mitchell Donald\Mitchell-Donald;nl NED;MF;Yeni Mal'spor;30;1988;22;17;1373;3;1;0;0;3;0;0.20;0.07;0.26;0.20;0.26;Matches
165;Ryan Donk\Ryan-Donk;nl NED;DF;Galatasaray;33;1986;18;15;1410;3;1;0;0;3;0;0.19;0.06;0.26;0.19;0.26;Matches
166;Douglas\Douglas;br BRA;DF;Beşiktaş;28;1990;5;3;275;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
167;Abdullah Durak\Abdullah-Durak;tr TUR;MFDF;Rizespor;32;1987;17;13;1124;0;1;0;0;2;0;0.00;0.08;0.08;0.00;0.08;Matches
168;Jimmy Durmaz\Jimmy-Durmaz;se SWE;MF;Galatasaray;30;1989;7;1;183;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
169;Abdurrahim Dursun\Abdurrahim-Dursun;tr TUR;DF;Trabzonspor;20;1998;1;0;37;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
170;Salih Dursun\Salih-Dursun;tr TUR;DF;Antalyaspor;28;1991;3;1;69;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
171;Volkan Egri\Volkan-Egri;tr TUR;DF;Sivasspor;21;1998;1;0;14;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
172;Mehmet Ekici\Mehmet-Ekici;tr TUR;MF;Fenerbahçe;29;1990;3;1;92;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
173;Caleb Ekuban\Caleb-Ekuban;gh GHA;MF;Trabzonspor;25;1994;12;5;546;2;2;0;0;0;0;0.33;0.33;0.66;0.33;0.66;Matches
174;Eljero Elia\Eljero-Elia;nl NED;MF;Başakşehir;32;1987;18;15;1168;1;2;0;0;1;0;0.08;0.15;0.23;0.08;0.23;Matches
175;Mohamed Elneny\Mohamed-Elneny;eg EGY;MF;Beşiktaş;27;1992;18;18;1584;0;2;0;0;6;1;0.00;0.11;0.11;0.00;0.11;Matches
176;Berkan Emir\Berkan-Emir;tr TUR;DF;Göztepe;31;1988;20;20;1795;1;1;0;0;4;0;0.05;0.05;0.10;0.05;0.10;Matches
177;Alexandru Epureanu\Alexandru-Epureanu;md MDA;DF;Başakşehir;32;1986;21;21;1890;0;1;0;0;3;0;0.00;0.05;0.05;0.00;0.05;Matches
178;Ziya Erdal\Ziya-Erdal;tr TUR;DFMF;Sivasspor;31;1988;15;10;860;1;2;0;0;2;0;0.10;0.21;0.31;0.10;0.31;Matches
179;Mehmet Erdem Uğurlu\Mehmet-Erdem-Ugurlu;tr TUR;DF;Gaziantep FK;31;1988;2;1;81;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
180;Mevlüt Erdinç\Mevlut-Erdinc;tr TUR;FW;Fenerbahçe;32;1987;8;0;61;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
181;Doğan Erdoğan\Dogan-Erdogan;tr TUR;MF;Trabzonspor;22;1996;16;3;438;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
182;Yusuf Erdoğan\Yusuf-Erdogan;tr TUR;MF;Kasımpaşa;26;1992;11;5;399;1;2;0;0;0;0;0.23;0.45;0.68;0.23;0.68;Matches
183;Caner Erkin\Caner-Erkin;tr TUR;DFMF;Beşiktaş;30;1988;24;23;2062;2;8;0;0;9;1;0.09;0.35;0.44;0.09;0.44;Matches
184;Oscar Estupiñan\Oscar-Estupinan;co COL;FWMF;Denizlispor;22;1996;18;5;590;4;0;0;0;0;0;0.61;0.00;0.61;0.61;0.61;Matches
185;Radamel Falcao\Radamel-Falcao;co COL;FW;Galatasaray;33;1986;12;9;763;8;0;2;2;1;0;0.94;0.00;0.94;0.71;0.71;Matches
186;Simon Falette\Simon-Falette;gn GUI;DF;Fenerbahçe;27;1992;1;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
187;Fabien Farnolle\Fabien-Farnolle;bj BEN;GK;Yeni Mal'spor;34;1984;23;23;2070;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
188;Ricardo Faty\Ricardo-Faty;sn SEN;MF;Ankaragücü;32;1986;22;16;1447;0;0;0;0;8;1;0.00;0.00;0.00;0.00;0.00;Matches
189;Sofiane Feghouli\Sofiane-Feghouli;dz ALG;MF;Galatasaray;29;1989;19;19;1554;4;1;0;0;3;0;0.23;0.06;0.29;0.23;0.29;Matches
190;Ivanildo Fernandes\Ivanildo-Fernandes;pt POR;DF;Trabzonspor;23;1996;3;3;224;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
191;Ivanildo Fernandes\Ivanildo-Fernandes;pt POR;DF;Rizespor;23;1996;3;3;235;0;0;0;0;3;1;0.00;0.00;0.00;0.00;0.00;Matches
192;Jorge Filipe Oliveira Fernandes\Jorge-Filipe-Oliveira-Fernandes;pt POR;DF;Kasımpaşa;22;1997;13;9;934;0;0;0;0;6;1;0.00;0.00;0.00;0.00;0.00;Matches
193;Junior Fernándes\Junior-Fernandes;cl CHI;MF;Alanyaspor;31;1988;21;17;1427;7;5;0;0;3;1;0.44;0.32;0.76;0.44;0.76;Matches
194;Fernando\Fernando;br BRA;MFFW;Sivasspor;26;1993;20;14;1197;5;2;0;0;3;0;0.38;0.15;0.53;0.38;0.53;Matches
195;Volkan Fındıklı\Volkan-Findikli;tr TUR;MF;Konyaspor;28;1990;11;5;532;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
196;Moryké Fofana\Moryke-Fofana;ci CIV;MF;Yeni Mal'spor;27;1991;18;11;977;1;0;0;0;2;0;0.09;0.00;0.09;0.09;0.09;Matches
197;Fredy\Fredy;ao ANG;MFFW;Antalyaspor;29;1990;16;7;768;2;2;0;0;1;0;0.23;0.23;0.47;0.23;0.47;Matches
198;Kerim Frei\Kerim-Frei;tr TUR;MF;Başakşehir;25;1993;3;0;104;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
199;Lamine Gassama\Lamine-Gassama;sn SEN;DF;Göztepe;29;1989;21;21;1845;0;2;0;0;5;0;0.00;0.10;0.10;0.00;0.10;Matches
200;Gelson\Gelson;ao ANG;FW;Antalyaspor;23;1996;6;2;160;0;1;0;0;0;0;0.00;0.56;0.56;0.00;0.56;Matches
201;Okechukwu Godson Azubuike\Okechukwu-Godson-Azubuike;ng NGA;MF;Başakşehir;22;1997;15;9;753;0;1;0;0;1;0;0.00;0.12;0.12;0.00;0.12;Matches
202;Gerard Gohou\Gerard-Gohou;ci CIV;FW;Kasımpaşa;30;1988;3;0;45;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
203;Marcelo Goiano\Marcelo-Goiano;br BRA;DF;Sivasspor;31;1987;21;21;1863;0;2;0;0;6;0;0.00;0.10;0.10;0.00;0.10;Matches
204;Gökhan Gönül\Gokhan-Gonul;tr TUR;DF;Beşiktaş;34;1985;21;20;1827;2;3;0;0;4;0;0.10;0.15;0.25;0.10;0.25;Matches
205;Zafer Görgen\Zafer-Gorgen;tr TUR;GK;Rizespor;19;2000;4;2;214;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
206;Guilherme\Guilherme;br BRA;MF;Trabzonspor;28;1991;5;4;313;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
207;Guilherme\Guilherme;br BRA;MF;Yeni Mal'spor;28;1991;18;16;1320;5;6;0;0;3;0;0.34;0.41;0.75;0.34;0.75;Matches
208;Fredrik Gulbrandsen\Fredrik-Gulbrandsen;no NOR;MFFW;Başakşehir;26;1992;13;6;522;3;0;0;0;1;0;0.52;0.00;0.52;0.52;0.52;Matches
209;Levent Gülen\Levent-Gulen;ch SUI;DF;Kayserispor;25;1994;2;1;82;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
210;Ceyhun Gülselam\Ceyhun-Gulselam;tr TUR;MF;Alanyaspor;31;1987;22;17;1449;3;1;0;0;7;0;0.19;0.06;0.25;0.19;0.25;Matches
211;Sinan Gümüş\Sinan-Gumus;tr TUR;MFFW;Antalyaspor;25;1994;5;5;357;3;1;1;1;4;1;0.76;0.25;1.01;0.50;0.76;Matches
212;Umut Güneş\Umut-Gunes;tr TUR;MF;Alanyaspor;19;2000;1;0;1;0;1;0;0;0;0;0.00;90.00;90.00;0.00;90.00;Matches
213;Mert Günok\Mert-Gunok;tr TUR;GK;Başakşehir;30;1989;24;24;2160;0;1;0;0;0;0;0.00;0.04;0.04;0.00;0.04;Matches
214;Berke Gürbüz\Berke-Gurbuz;tr TUR;FW;Ankaragücü;16;2003;1;0;11;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
215;Serdar Gürler\Serdar-Gurler;tr TUR;MF;Göztepe;27;1991;21;21;1833;6;5;0;1;3;0;0.29;0.25;0.54;0.29;0.54;Matches
216;Luiz Gustavo\Luiz-Gustavo;br BRA;MF;Fenerbahçe;32;1987;20;20;1798;2;1;0;0;9;2;0.10;0.05;0.15;0.10;0.15;Matches
217;Günay Güvenç\Gunay-Guvenc;tr TUR;GK;Gaziantep FK;28;1991;22;22;1980;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
218;Oussama Haddadi\Oussama-Haddadi;tn TUN;DF;Kasımpaşa;27;1992;6;6;540;0;2;0;0;1;0;0.00;0.33;0.33;0.00;0.33;Matches
219;Teenage Hadebe\Teenage-Hadebe;zw ZIM;DF;Yeni Mal'spor;23;1995;16;16;1331;0;1;0;0;4;1;0.00;0.07;0.07;0.00;0.07;Matches
220;Florent Hadergjonaj\Florent-Hadergjonaj;xk KVX;DF;Kasımpaşa;25;1994;5;5;450;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
221;Amir Hadžiahmetović\Amir-Hadziahmetovic;ba BIH;MF;Konyaspor;22;1997;15;8;785;1;0;0;0;3;0;0.11;0.00;0.11;0.11;0.11;Matches
222;Karim Hafez\Karim-Hafez;eg EGY;DF;Kasımpaşa;23;1996;13;13;1040;0;0;0;0;5;2;0.00;0.00;0.00;0.00;0.00;Matches
223;Karim Hafez\Karim-Hafez;eg EGY;DFFW;Yeni Mal'spor;23;1996;4;4;338;0;1;0;0;0;0;0.00;0.27;0.27;0.00;0.27;Matches
224;Haris Hajradinović\Haris-Hajradinovic;ba BIH;MF;Kasımpaşa;25;1994;20;19;1683;3;4;0;0;5;1;0.16;0.21;0.37;0.16;0.37;Matches
225;Ahmet Hakan Demirli\Ahmet-Hakan-Demirli;tr TUR;FW;Kasımpaşa;18;2000;2;0;5;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
226;Denys Harmash\Denys-Harmash;ua UKR;MF;Rizespor;29;1990;4;2;204;1;0;0;0;0;0;0.44;0.00;0.44;0.44;0.44;Matches
227;Dogucan Haspolat\Dogucan-Haspolat;nl NED;DF;Kasımpaşa;19;2000;3;1;100;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
228;Tobias Heintz\Tobias-Heintz;no NOR;MF;Kasımpaşa;21;1998;8;2;217;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
229;Pedro Henrique\Pedro-Henrique;br BRA;MF;Kayserispor;29;1990;18;16;1360;7;0;0;0;11;2;0.46;0.00;0.46;0.46;0.46;Matches
230;Majid Hosseini\Majid-Hosseini;ir IRN;DFMF;Trabzonspor;23;1996;13;11;938;1;0;1;2;3;0;0.10;0.00;0.10;0.00;0.00;Matches
231;Paolo Hurtado\Paolo-Hurtado;pe PER;FW;Konyaspor;29;1990;9;1;168;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
232;Hasan Hüseyin Acar\Hasan-Huseyin-Acar;tr TUR;MF;Kayserispor;24;1994;12;12;1040;0;2;0;0;4;0;0.00;0.17;0.17;0.00;0.17;Matches
233;Atiba Hutchinson\Atiba-Hutchinson;ca CAN;MF;Beşiktaş;36;1983;22;21;1898;4;4;0;0;3;0;0.19;0.19;0.38;0.19;0.38;Matches
234;Ahmed Ildiz\Ahmed-Ildiz;tr TUR;MF;Yeni Mal'spor;22;1996;9;1;124;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
235;Selçuk İnan\Selcuk-Inan;tr TUR;MF;Galatasaray;34;1985;6;3;267;0;0;0;1;0;0;0.00;0.00;0.00;0.00;0.00;Matches
236;Gökhan Inler\Gokhan-Inler;ch SUI;MF;Başakşehir;35;1984;6;1;169;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
237;Mauricio Isla\Mauricio-Isla;cl CHI;DF;Fenerbahçe;31;1988;17;17;1441;0;3;0;0;4;1;0.00;0.19;0.19;0.00;0.19;Matches
238;Adis Jahović\Adis-Jahovic;mk MKD;FW;Antalyaspor;32;1987;4;4;315;2;0;0;0;2;0;0.57;0.00;0.57;0.57;0.57;Matches
239;Adis Jahović\Adis-Jahovic;mk MKD;FW;Yeni Mal'spor;32;1987;18;18;1582;11;1;4;4;1;1;0.63;0.06;0.68;0.40;0.46;Matches
240;Jefferson\Jefferson;br BRA;MFFW;Gaziantep FK;25;1994;11;10;857;1;0;0;0;6;0;0.11;0.00;0.11;0.11;0.11;Matches
241;Cameron Jerome\Cameron-Jerome;eng ENG;FW;Göztepe;32;1986;18;16;1390;3;0;0;0;6;0;0.19;0.00;0.19;0.19;0.19;Matches
242;Marko Jevtović\Marko-Jevtovic;rs SRB;MF;Konyaspor;26;1993;16;16;1267;2;0;2;3;3;0;0.14;0.00;0.14;0.00;0.00;Matches
243;Juanfran\Juanfran;es ESP;DF;Alanyaspor;30;1988;6;6;512;0;2;0;0;1;0;0.00;0.35;0.35;0.00;0.35;Matches
244;Jens Jønsson\Jens-Jonsson;dk DEN;MF;Konyaspor;26;1993;24;24;2056;1;0;0;0;3;0;0.04;0.00;0.04;0.04;0.04;Matches
245;Mathias Jørgensen\Mathias-Jorgensen;dk DEN;DF;Fenerbahçe;29;1990;16;14;1233;2;0;0;0;2;0;0.15;0.00;0.15;0.15;0.15;Matches
246;Moestafa El Kabir\Moestafa-El-Kabir;ma MAR;FW;Rizespor;30;1988;2;2;103;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
247;Deniz Kadah\Deniz-Kadah;tr TUR;FWMF;Göztepe;33;1986;12;3;333;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
248;Ferdi Kadioglu\Ferdi-Kadioglu;nl NED;MF;Fenerbahçe;19;1999;13;0;258;2;2;0;0;1;0;0.70;0.70;1.40;0.70;1.40;Matches
249;Oğuz Kağan Güçtekin\Oguz-Kagan-Guctekin;tr TUR;MF;Rizespor;20;1999;8;3;268;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
250;İrfan Kahveci\Irfan-Kahveci;tr TUR;MF;Başakşehir;24;1995;20;20;1656;3;2;0;0;7;1;0.16;0.11;0.27;0.16;0.27;Matches
251;Jean-Armel Kana-Biyik\Jean-Armel-Kana-Biyik;cm CMR;DF;Gaziantep FK;30;1989;23;23;2070;1;0;0;0;4;0;0.04;0.00;0.04;0.04;0.04;Matches
252;Kaan Kanak\Kaan-Kanak;tr TUR;DF;Alanyaspor;28;1990;3;3;270;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
253;Ferhat Kaplan\Ferhat-Kaplan;tr TUR;GK;Antalyaspor;30;1989;9;8;720;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
254;Aytaç Kara\Aytac-Kara;tr TUR;MF;Kasımpaşa;26;1993;22;22;1973;4;0;0;0;8;0;0.18;0.00;0.18;0.18;0.18;Matches
255;Aydın Karabulut\Aydin-Karabulut;tr TUR;MF;Ankaragücü;31;1988;15;8;697;1;1;0;0;2;0;0.13;0.13;0.26;0.13;0.26;Matches
256;Efecan Karaca\Efecan-Karaca;tr TUR;MF;Alanyaspor;29;1989;23;21;1761;0;3;0;0;3;0;0.00;0.15;0.15;0.00;0.15;Matches
257;İlker Karakaş\Ilker-Karakas;tr TUR;FW;Gençlerbirliği;20;1999;2;0;32;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
258;Cebrail Karayel\Cebrail-Karayel;tr TUR;DF;Ankaragücü;24;1994;14;8;780;0;1;0;0;5;1;0.00;0.12;0.12;0.00;0.12;Matches
259;Erce Kardeşler\Erce-Kardesler;tr TUR;GK;Trabzonspor;25;1994;2;1;124;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
260;Loris Karius\Loris-Karius;de GER;GK;Beşiktaş;26;1993;24;24;2160;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
261;Erkan Kaş\Erkan-Kas;tr TUR;DF;Yeni Mal'spor;27;1991;6;3;304;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;Matches
262;Hasan Kaya\Hasan-Kaya;tr TUR;MF;Ankaragücü;23;1995;11;5;448;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
263;Yalçın Kayan\Yalcin-Kayan;tr TUR;MF;Göztepe;20;1999;6;0;109;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
264;Olarenwaju Kayode\Olarenwaju-Kayode;ng NGA;FW;Gaziantep FK;26;1993;20;20;1673;8;6;3;4;2;2;0.43;0.32;0.75;0.27;0.59;Matches
265;Abdul Khalili\Abdul-Khalili;se SWE;MF;Kasımpaşa;27;1992;16;12;1021;2;2;0;0;4;0;0.18;0.18;0.35;0.18;0.35;Matches
266;Marc Kibong Mbamba\Marc-Kibong-Mbamba;cm CMR;MF;Denizlispor;30;1988;7;2;216;0;1;0;0;0;0;0.00;0.42;0.42;0.00;0.42;Matches
267;Emre Kılınç\Emre-Kilinc;tr TUR;MFFW;Sivasspor;24;1994;19;18;1604;6;5;0;0;6;0;0.34;0.28;0.62;0.34;0.62;Matches
268;Koray Kilinc\Koray-Kilinc;tr TUR;FW;Trabzonspor;19;2000;3;0;45;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
269;Batuhan Kırdaroğlu\Batuhan-Kirdaroglu;tr TUR;MF;Göztepe;18;2000;1;0;14;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
270;Serkan Kırıntılı\Serkan-Kirintili;tr TUR;GK;Konyaspor;34;1985;23;23;1980;0;0;0;0;1;1;0.00;0.00;0.00;0.00;0.00;Matches
271;Stelios Kitsiou\Stelios-Kitsiou;gr GRE;DFMF;Ankaragücü;25;1993;24;24;2145;2;2;0;0;4;1;0.08;0.08;0.17;0.08;0.17;Matches
272;Arda Kızıldağ\Arda-Kizildag;tr TUR;DF;Gençlerbirliği;20;1998;1;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
273;Anıl Koç\Anil-Koc;tr TUR;MF;Kasımpaşa;24;1995;3;0;54;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
274;Okan Kocuk\Okan-Kocuk;tr TUR;GK;Galatasaray;24;1995;1;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
275;Bengali-Fodé Koita\Bengali-Fode-Koita;gn GUI;FWMF;Kasımpaşa;28;1990;16;15;1278;4;2;0;0;2;0;0.28;0.14;0.42;0.28;0.42;Matches
276;Arouna Koné\Arouna-Kone;ci CIV;FW;Sivasspor;35;1983;19;4;556;4;4;0;0;0;0;0.65;0.65;1.29;0.65;1.29;Matches
277;Nurettin Korkmaz\Nurettin-Korkmaz;tr TUR;MF;Kayserispor;17;2002;4;1;130;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
278;Ramazan Köse\Ramazan-Kose;tr TUR;GK;Kasımpaşa;31;1988;4;4;360;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
279;Artem Kravets\Artem-Kravets;ua UKR;FW;Kayserispor;30;1989;10;7;654;4;0;0;0;1;0;0.55;0.00;0.55;0.55;0.55;Matches
280;Max Kruse\Max-Kruse;de GER;MF;Fenerbahçe;31;1988;19;19;1664;7;6;3;3;0;0;0.38;0.32;0.70;0.22;0.54;Matches
281;Alihan Kubalas\Alihan-Kubalas;tr TUR;DF;Ankaragücü;27;1991;9;7;669;1;0;0;0;4;0;0.13;0.00;0.13;0.13;0.13;Matches
282;Fyodor Kudryashov\Fyodor-Kudryashov;ru RUS;DF;Antalyaspor;32;1987;7;7;630;0;1;0;0;0;0;0.00;0.14;0.14;0.00;0.14;Matches
283;Mert Kula\Mert-Kula;tr TUR;DF;Kayserispor;24;1995;7;5;515;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
284;Ante Kulušić\Ante-Kulusic;hr CRO;DF;Ankaragücü;33;1986;23;23;2025;0;0;0;0;6;0;0.00;0.00;0.00;0.00;0.00;Matches
285;Yekta Kurtuluş\Yekta-Kurtulus;tr TUR;MF;Antalyaspor;33;1985;3;2;152;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
286;Zoran Kvržić\Zoran-Kvrzic;ba BIH;DF;Kayserispor;30;1988;2;2;134;0;0;0;0;0;1;0.00;0.00;0.00;0.00;0.00;Matches
287;Joseph Larweh Attamah\Joseph-Larweh-Attamah;gh GHA;MF;Rizespor;25;1994;14;11;1003;0;1;0;0;3;0;0.00;0.09;0.09;0.00;0.09;Matches
288;Mario Lemina\Mario-Lemina;ga GAB;MF;Galatasaray;25;1993;15;14;1134;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;Matches
289;Jeremain Lens\Jeremain-Lens;nl NED;MFDF;Beşiktaş;31;1987;15;11;902;1;2;0;0;6;0;0.10;0.20;0.30;0.10;0.30;Matches
290;Martin Linnes\Martin-Linnes;no NOR;DF;Galatasaray;27;1991;5;2;316;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
291;Adem Ljajić\Adem-Ljajic;rs SRB;MF;Beşiktaş;27;1991;21;16;1444;3;6;0;0;5;0;0.19;0.37;0.56;0.19;0.56;Matches
292;Saba Lobzhanidze\Saba-Lobzhanidze;ge GEO;MF;Ankaragücü;24;1994;6;5;405;1;0;0;0;0;0;0.22;0.00;0.22;0.22;0.22;Matches
293;Yuri Lodygin\Yuri-Lodygin;ru RUS;GK;Gaziantep FK;29;1990;2;2;180;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
294;Miguel Lopes\Miguel-Lopes;pt POR;DF;Kayserispor;32;1986;21;21;1890;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;Matches
295;Tiago Jorge Oliveira Lopes\Tiago-Jorge-Oliveira-Lopes;pt POR;DF;Denizlispor;30;1989;17;15;1400;0;0;0;0;6;1;0.00;0.00;0.00;0.00;0.00;Matches
296;Silviu Lung Jr.\Silviu-Lung-Jr;ro ROU;GK;Kayserispor;30;1989;19;19;1710;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;Matches
297;Christian Luyindama\Christian-Luyindama;cd COD;DF;Galatasaray;25;1994;10;10;885;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
298;Róbert Mak\Robert-Mak;sk SVK;MF;Konyaspor;28;1991;4;2;202;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
299;Marcão\Marcao;br BRA;DF;Galatasaray;23;1996;21;21;1842;0;0;0;0;11;1;0.00;0.00;0.00;0.00;0.00;Matches
300;Mariano\Mariano;br BRA;DFMF;Galatasaray;33;1986;20;19;1741;0;5;0;0;6;0;0.00;0.26;0.26;0.00;0.26;Matches
301;Alexandru Maxim\Alexandru-Maxim;ro ROU;MFFW;Gaziantep FK;29;1990;5;5;426;2;1;0;0;2;0;0.42;0.21;0.63;0.42;0.63;Matches
302;Gary Medel\Gary-Medel;cl CHI;MF;Beşiktaş;31;1987;2;2;129;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
303;Dario Melnjak\Dario-Melnjak;hr CRO;DF;Rizespor;26;1992;23;23;2070;3;1;0;0;2;0;0.13;0.04;0.17;0.13;0.17;Matches
304;Bernard Mensah\Bernard-Mensah;gh GHA;MFFW;Kayserispor;24;1994;18;18;1514;2;6;2;2;7;1;0.12;0.36;0.48;0.00;0.36;Matches
305;Yassine Meriah\Yassine-Meriah;tn TUN;DF;Kasımpaşa;26;1993;5;5;450;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;Matches
306;Muris Mešanović\Muris-Mesanovic;ba BIH;FWMF;Kayserispor;29;1990;7;7;614;2;0;0;0;0;0;0.29;0.00;0.29;0.29;0.29;Matches
307;Konrad Michalak\Konrad-Michalak;pl POL;MF;Ankaragücü;21;1997;6;4;345;0;2;0;0;1;0;0.00;0.52;0.52;0.00;0.52;Matches
308;Deni Milošević\Deni-Milosevic;ba BIH;MF;Konyaspor;24;1995;23;22;1960;3;1;0;0;5;0;0.14;0.05;0.18;0.14;0.18;Matches
309;Arturo Mina\Arturo-Mina;ec ECU;DF;Yeni Mal'spor;28;1990;13;11;914;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;Matches
310;Farouk Miya\Farouk-Miya;ug UGA;FWMF;Konyaspor;21;1997;19;12;1235;5;1;1;1;2;0;0.36;0.07;0.44;0.29;0.36;Matches
311;Wilfred Moke\Wilfred-Moke;cd COD;MF;Ankaragücü;31;1988;17;13;1135;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
312;Emre Mor\Emre-Mor;tr TUR;MF;Galatasaray;22;1997;10;3;365;0;0;0;0;2;1;0.00;0.00;0.00;0.00;0.00;Matches
313;Júnior Morais\Junior-Morais;br BRA;DFMF;Gaziantep FK;33;1986;20;20;1800;0;1;0;0;2;0;0.00;0.05;0.05;0.00;0.05;Matches
314;Mykola Morozyuk\Mykola-Morozyuk;ua UKR;DF;Rizespor;31;1988;18;16;1456;0;1;0;0;4;0;0.00;0.06;0.06;0.00;0.06;Matches
315;Victor Moses\Victor-Moses;ng NGA;MFFW;Fenerbahçe;28;1990;6;6;492;1;1;1;2;1;0;0.18;0.18;0.37;0.00;0.18;Matches
316;Mossoró\Mossoro;br BRA;MF;Başakşehir;36;1983;1;1;90;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;Matches
317;Mossoró\Mossoro;br BRA;MFFW;Göztepe;36;1983;14;9;797;0;1;0;0;4;0;0.00;0.11;0.11;0.00;0.11;Matches
318;Paul Mukairu\Paul-Mukairu;ng NGA;MFFW;Antalyaspor;19;2000;20;12;1144;3;1;0;0;3;0;0.24;0.08;0.31;0.24;0.31;Matches
